place_id,place_name,address,r_library,r_kidcafe,r_play,r_park,r_house
243,발바닥공원,서울특별시 도봉구 시루봉로6길 33,0,0,0,1,0
244,월천근린공원,서울특별시 도봉구 창동 28번지,0,0,0,1,0
245,용두근린공원,서울특별시 동대문구 용두동 34-1번지 일대,0,0,0,1,0
246,상암근린공원,서울특별시 마포구 상암동 1761,0,0,0,1,0
247,와우근린공원,서울특별시 마포구 창전동 3-193번지 일대(홍익대 뒷산),0,0,0,1,0
248,금호근린공원,서울특별시 성동구 장터1길 18,0,0,0,1,0
249,달맞이근린공원,서울특별시 성동구 옥수동 산1-1,0,0,0,1,0
250,문정근린공원,서울특별시 송파구 문정동 18-4,0,0,0,1,0
251,문화예술공원,서울특별시 서초구 바우뫼로12길 40 (양재동),0,0,0,1,0
252,세종로공원,서울특별시 종로구 세종대로 189 (우) 03172,0,0,0,1,0
253,샘말공원(관악산),서울특별시 관악구 대학동 산63-1일대 샘말공원,0,0,0,1,0
254,초안산생태공원,서울특별시 도봉구 창동 산24,0,0,0,1,0
255,푸른수목원,서울특별시 구로구 연동로 240(항동81-1) 푸른수목원관리사무소,0,0,0,1,0
256,서오능도시자연공원,서울특별시 은평구 구파발동 갈현동 진관내동,0,0,0,1,0
257,청계산도시자연공원,서울특별시 서초구 원지동 산 33,0,0,0,1,0
258,개화근린공원,서울특별시 강서구 개화동 산17,0,0,0,1,0
259,아차산생태공원,서울특별시 광진구 광장동 370,0,0,0,1,0
260,인능산도시자연공원,서울특별시 서초구 내곡동 산12-404,0,0,0,1,0
261,구룡산,서울특별시 서초구 염곡동 산25-1,0,0,0,1,0
262,우면산도시자연공원,서울특별시 서초구 우면동 산35-1,0,0,0,1,0
263,향림근린공원,서울특별시 은평구 진관동 산55,0,0,0,1,0
264,신사근린공원,서울특별시 은평구 신사동 산80-4,0,0,0,1,0
265,문화역 서울284,서울특별시 중구 통일로 1 서울역,0,0,0,1,0
266,광평근린공원,서울특별시 강남구 수서동 산10-1,0,0,0,1,0
267,청담근린공원,서울특별시 강남구 청담동 66,0,0,0,1,0
268,허브천문공원,서울특별시 강동구 둔촌동 산94,0,0,0,1,0
269,연신내물빛공원,서울특별시 은평구 통일로 849,0,0,0,1,0
270,나들이근린공원,서울특별시 중구 망우동 산 30-7 일대,0,0,0,1,0
271,숭인근린공원,서울특별시 종로구 숭인동 58,0,0,0,1,0
272,서일대뒷산공원,서울특별시 중랑구 면목동 산19,0,0,0,1,0
273,용마도시자연공원(사가정공원),서울특별시 중랑구 면목7동 산50 ,0,0,0,1,0
274,문화비축기지,서울특별시 마포구 증산로 87,0,0,0,1,0
275,경춘선숲길,서울특별시 노원구 공릉2동 산 82-2,0,0,0,1,0
276,율현공원,서울특별시 강남구 율현동 밤고개로24길(율현동 56),0,0,0,1,0
277,서울로7017,서울특별시 중구 청파로 432,0,0,0,1,0
300,역삼 월드메르디앙 놀이터,서울특별시 강남구 도곡로21길 15,0,0,1,0,0
301,금강수목원아파트 옆 마을마당,서울특별시 구로구 오리로 1197,0,0,1,0,0
302,"미래와희망 (산부인과, 소아청소년과, 내과, 산후조리원)",서울특별시 강남구 언주로 707,0,0,1,0,0
303,연세남부치과의원,서울특별시 강서구 곰달래로49길 18,0,0,1,0,0
304,송례공원 어린이놀이터,서울특별시 송파구 위례순환로 413,0,0,1,0,0
305,(장위동) 4425. 코오롱하늘채아파트앞 따릉이대여소,서울특별시 성북구 돌곶이로 220,0,0,1,0,0
306,경남논현 놀이터,서울특별시 강남구 언주로116길 12,0,0,1,0,0
307,논현동부센트레빌 놀이터,서울특별시 강남구 언주로116길 6,0,0,1,0,0
308,아크로힐스논현 아파트 놀이터,서울특별시 강남구 언주로 604,0,0,1,0,0
309,김포공항국내선청사공항전망대,서울특별시 강서구 하늘길 170-1,0,0,1,0,0
310,웰빙공원,서울특별시 강서구 양천로 291,0,0,1,0,0
311,개포문화공원,서울특별시 강남구 삼성로3길 39,0,0,1,0,0
312,오류IC 숲속놀이터,서울특별시 구로구 경인로 248-14,0,0,1,0,0
313,[중랑구] 사가정공원 유아숲 체험원,서울특별시 중랑구 면목동 산 1-9,0,0,1,0,0
314,어울림공원,서울특별시 강서구 양천로 291,0,0,1,0,0
315,(길음동) 길빛근린공원,서울특별시 성북구 숭인로8길 52,0,0,1,0,0
316,  일원장미공원,서울특별시 강남구 광평로10길 28,0,0,1,0,0
317,개나리어린이공원,서울특별시 강서구 화곡로43가길 39,0,0,1,0,0
318,[양재1동] 비석어린이공원,서울특별시 서초구 양재천로 125-10,0,0,1,0,0
319,지식의꽃밭,서울특별시 동대문구 답십리로 93,0,0,1,0,0
320,신촌역광장,서울특별시 서대문구 신촌역로 30,0,0,1,0,0
321,한진아파트 후문 쉼터,서울특별시 구로구 개봉로3길 87,0,0,1,0,0
322,개미 유아숲 체험원,서울특별시 금천구 독산로54길 258,0,0,1,0,0
323,홍제2구역 어린이공원,서울특별시 서대문구 통일로 395,0,0,1,0,0
324,연신어린이공원,서울특별시 은평구 연서로32길 17-11,0,0,1,0,0
325,광명어린이공원,서울특별시 강서구 남부순환로19길 30,0,0,1,0,0
326,홍제1구역 어린이공원,서울특별시 서대문구 통일로 339,0,0,1,0,0
327,[도봉구]은행나무어린이공원,서울특별시 도봉구 해등로 50,0,0,1,0,0
328,천왕산 목공체험장,서울특별시 구로구 연동로12길 149,0,0,1,0,0
329,역삼은행나무공원,서울특별시 강남구 역삼동 611,0,0,1,0,0
330,천왕근린공원 물놀이장,서울특별시 구로구 금오로 878,0,0,1,0,0
331,청담목련어린이공원,서울특별시 강남구 도산대로92길 10,0,0,1,0,0
332,구로가족 센터 하늘공원,서울특별시 구로구 우마2길 35,0,0,1,0,0
333,(석관동) 1333. 석관초등학교앞 따릉이대여소,서울특별시 성북구 돌곶이로22길 21,0,0,1,0,0
334,삼성해맞이공원,서울특별시 강남구 영동대로128길 39,0,0,1,0,0
335,신광명어린이공원,서울특별시 강서구 수명로2가길 22,0,0,1,0,0
336,구로 화원 어린이 공원 - 바닥 분수 시간 변경,서울특별시 구로구 벚꽃로 484,0,0,1,0,0
337,문화역 서울 284,서울특별시 중구 통일로 1,0,0,1,0,0
338,국립극장 공연예술박물관,서울특별시 중구 장충단로 59,0,0,1,0,0
339,삼성까치공원,서울특별시 강남구 삼성로 85,0,0,1,0,0
